ピラニア,PIRANIA
フクロウ,FUKUROU
フナムシ,FUNAMUSHI
プードル,PU-DORU
ベルーガ,BERU-GA
ペリカン,PERIKANN
ペンギン,PENNGINN
ホオアカ,HOOAKA
ホオジロ,HOOJIRO
ホラガイ,HORAGAI
マンボウ,MANNBOU
マンモス,MANNMOSU
ミケリス,MIKERISU
ミジンコ,MIJINNKO
ミツバチ,MITSUBACHI
ミミズク,MIMIZUKU
ムクドリ,MUKUDORI
ムササビ,MUSASABI
ムフロン,MUFURONN
モモンガ,MOMONNGA
ヤドカリ,YADOKARI
ヤブサメ,YABUSAME
ライオン,RAIONN
ラーテル,RA-TERU
リクガメ,RIKUGAME
リスザル,RISUZARU
ルーパー,RU-PA-
ワカサギ,WAKASAGI
コノハズク,KONOHAZUKU
コバンザメ,KOBANNZAME
シタツンガ,SHITATSUNNGA
スズメバチ,SUZUMEBACHI
スナネズミ,SUNANEZUMI
スパイダー,SUPAIDA-
スルメイカ,SURUMEIKA
ズワイガニ,ZUWAIGANI
タラポアン,TARAPOANN
タルバガン,TARUBAGANN
ダンゴムシ,DANNGOMUSHI
テナガエビ,TENAGAEBI
ドブネズミ,DOBUNEZUMI
ヌタウナギ,NUTAUNAGI
ヌートリア,NU-TORIA
ハクビシン,HAKUBISHINN
ハムスター,HAMUSUTA-
ハリネズミ,HARINEZUMI
バタフライ,BATAFURAI
ヒキガエル,HIKIGAERU
フラミンゴ,FURAMINNGO
ホトトギス,HOTOTOGISU
ボタンエビ,BOTANEBI
マングース,MANNGU-SU
マントヒヒ,MANNTOHIHI
マンドリル,MANNDORIRU
ミノカサゴ,MINOKASAGO
ムツゴロウ,MUTSUGOROU
メガネザル,MEGANEZARU
ヤマアラシ,YAMAARASHI
ユリカモメ,YURIKAMOME
ルリカケス,RURIKAKESU
アリゲーター,ARIGE-TA-
アンモナイト,ANNMONAITO
サカマキガイ,SAKAMAKIGAI
サラマンダー,SARAMANNDA-
シーラカンス,SHI-RAKANNSU
ジンベエザメ,JINNBEEZAME
スケソウダラ,SUKESOUDARA
スコーピオン,SUKO-PIONN
スマトラトラ,SUMATORATORA
ダイオウイカ,DAIOUIKA
チンパンジー,CHINNPANNJI-
ツキノワグマ,TSUKINOWAGUMA
テントウムシ,TENNTOUMUSHI
デンキウナギ,DENNKIUNAGI
ネオンテトラ,NEONNTETORA
ノコギリザメ,NOKOGIRIZAME
ハリセンボン,HARISENNBONN
ラブラドール,RABURADO-RU
アーモンド,A-MONNDO
ウエハース,UEHA-SU
カシワモチ,KASHIWAMOCHI
カリントウ,KARINNTOU
キビダンゴ,KIBIDANNGO
コロンビエ,KORONNBIE
コンポート,KONNPO-TO
サクラモチ,SAKURAMOCHI
ブラウニー,BURAUNI-
マーガリン,MA-GARINN
マドレーヌ,MADORE-NU
モンブラン,MONNBURANN
ヨーグルト,YO-GURUTO
ルクマデス,RUKUMADESU
ワラビモチ,WARABIMOCHI
ガトーバスク,GATO-BASUKU
カトルカール,KATORUKA-RU
コンペイトウ,KONNPEITOU
スイスロール,SUISURO-RU
ダイフクモチ,DAIFUKUMOCHI
チーズケーキ,CHI-ZUKE-KI
ナマクリーム,NAMAKURI-MU
バターケーキ,BATA-KE-KI
フロランタン,FURORANNTANN
ポルボローネ,PORUBORO-NE
マーマレード,MA-MARE-DO
ミズヨウカン,MIZUYOUKANN
ラクトアイス,RAKUTOAISU
ロールケーキ,RO-RUKE-KI
アズライト,AZURAITO
アメシスト,AMESHISUTO
アメトリン,AMETORINN
アンデシン,ANNDESHINN
エメラルド,EMERARUDO
カルサイト,KARUSAITO
ガーネット,GA-NETTO
クリスタル,KURISUTARU
クリソコラ,KURISOKORA
サファイア,SAFAIA
ジャスパー,JASUPA-
ジンカイト,JINNKAITO
スイショウ,SUISHOU
スギライト,SUGIRAITO
スフェーン,SUFE-NN
セルサイト,SERUSAITO
ターコイズ,TA-KOIZU
トルマリン,TORUMARINN
ネフライト,NEFURAITO
パイライト,PAIRAITO
パイロープ,PAIRO-PU
ペリドット,PERIDOTTO
マラカイト,MARAKAITO
ラズライト,RAZURAITO
ルベライト,RUBERAITO
アイオライト,AIORAITO
アクアオーラ,AKUAO-RA
アクアマリン,AKUAMARINN
アンモライト,ANNMORAITO
ウレキサイト,UREKISAITO
カイアナイト,KAIANAITO
カーネリアン,KA-NERIANN
キャッツアイ,KYATTSUAI
クンツァイト,KUNNTSUAITO
コスモオーラ,KOSUMOO-RA
サンストーン,SANNSUTO-NN
サードニクス,SA-DONIKUSU
セレスティン,SERESUTEINN
ソーダライト,SO-DARAITO
タイガーアイ,TAIGA-AI
タンザナイト,TANNZANAITO
ダイヤモンド,DAIYAMONNDO
トリフェーン,TORIFE-NN
フローライト,FURO-RAITO
ブルーレース,BURU-RE-SU
プリーナイト,PURI-NAITO
ホークスアイ,HO-KUSUAI
ミーアシャム,MI-ASHAMU
ラピスラズリ,RAPISURAZURI
レッドベリル,REDDOBERIRU
ローズオーラ,RO-ZUO-RA
ロードライト,RO-DORAITO
